title,authors,journal_name,publication_date,link,abstract
Efficient Biosynthesis of Isopropanol from Ethanol by Metabolically Engineered Escherichia coli,"Y Wang, J Lu, M Xu, C Qian, F Zhaoâ¦",ACS Sustainable Chemistry & Engineering,2022.0,https://doi.org/10.1021/acssuschemeng.2c04663,"Ethanol, a promising nonfood carbon source from syngas fermentation, has recently been used in the biosynthesis of bulk chemicals in industrial biomanufacturing. In this study, the bifunctional oxidoreductase mutant AdhEA267T/E568K was introduced into Escherichia coli MG1655 to construct an ethanol utilization pathway that allows its aerobic growth on ethanol. The engineered strain with ethanol utilization capacity could consume approximately 8.0 g/L of ethanol within 48 h when using 10 g/L of ethanol as the carbon source. Then, the ethanol utilization pathway was coupled with the isopropanol biosynthesis pathway to synthesize isopropanol from ethanol. The results showed that the strain carrying the ethanolâisopropanol biosynthesis pathway successfully produced 2.01 g/L of isopropanol with 10 g/L of ethanol as the sole carbon source within 48 h, and the yield was 0.20 g/g. Subsequently, this research explored two metabolic engineering strategies to enhance the productivity of isopropanol: controlling the key gene of the TCA cycle (icd) through growth-phase-dependent promoters GPPs (PrpsL/rpsJ) to dynamically regulate the growth phase and increasing NADPH supply through overexpression of pntAB. The titers of isopropanol increased to 2.44 and 4.41 g/L, respectively, with a corresponding yield of 0.24 and 0.44 g/g. The engineered E. coli strain constructed in this study can efficiently synthesize isopropanol from ethanol, providing a nonfood resource biorefinery route for industrial biomanufacturing."
Targeted engineering and scale up of lycopene overproduction in Escherichia coli,"F Zhu, L Lu, X Zhong, T Liu",Process Biochemistry,2015.0,https://doi.org/10.1016/j.procbio.2014.12.008,"Engineering microorganisms for production of terpenoids has attracted considerable attention, and initial success was achieved using traditional metabolic engineering strategies or high throughput screening methods. Recently, we used a new targeted engineering strategy to leverage the mevalonate pathway to overproduce farnesene, but it was not clear if this strategy is applicable to production of other terpenoids. Here, we directly extend the information to lycopene production. Only two mutants were constructed, and the titer of lycopene in strain L3 easily reached 1.44 g/L in 2.5 L fed-batch fermentation. When the scale was increased to a 100 L working volume fed-batch fermentation in 150 L fermenter, up to 1.23 g/L (34.3 mg/gDCW) of lycopene was produced at 32 h after induction, the maximum productivity of this process reached up to 74.5 mg/L/h which demonstrates that the L3 fermentation process is easy scalable and that L3 could potentially replace the natural producer Blakeslea trispora in industrial production. The information could also be used to develop a highly efficient platform for overproduction of other terpenoids."
Rational Design of Escherichia coli for l-Isoleucine Production,SY Lee,Acs synthetic biology,2012.0,https://doi.org/10.1021/sb300071a,"Metabolic engineering of Escherichia coli was performed to construct a 100% rationally engineered strain capable of overproducing l-isoleucine, an important branched-chain amino acid. The thrABC (encoding l-threonine biosynthetic enzymes), ilvA (encoding feedback-resistant threonine dehydratase), ilvIH (encoding feedback-resistant acetohydroxy acid synthase III), and ygaZH (encoding branched-chain amino acid exporter) genes were amplified by plasmid-based overexpression. The ilvCED (encoding l-isoleucine biosynthetic enzymes) and lrp (encoding global regulator Lrp) genes were also amplified by chromosomal promoter replacement in order to further increase the flux toward l-isoleucine. The final engineered E. coli strain was able to produce 9.46 g/L of l-isoleucine with a yield of 0.14 g/g of glucose by fed-batch culture. The overall design principles described here for the production of highly regulated product should be useful in designing strains for the production of other similar bioproducts."
Metabolic flux analysis for succinic acid production by recombinant Escherichia coli with amplified malic enzyme activity,"Hong, S. H. and S. Y. Lee",Biotechnol Bioeng,2001.0,https://doi.org/10.1002/bit.1098,"A pfl ldhA double mutant Escherichia coli strain NZN111 was used to produce succinic acid by overexpressing the E. coli malic enzyme. Escherichia coli strain NZN111 harboring pTrcML produced 6 and 8 g/L of succinic acid from 20 g/L of glucose in flask culture at 37 degrees C and 30 degrees C, respectively. When NZN111(pTrcML) was cultured at 30 degrees C with intermittent glucose feeding the final succinic acid concentration obtained was 9.5 g/L and the ratio of succinic acid to acetic acid was 13:1. This system could not be analyzed by conventional metabolic flux analysis techniques, since some pyruvate and succinic acid were accumulated intracellularly. Therefore, a new flux analysis method was proposed by introducing intracellular pyruvate and succinic acid pools. By this new method the concentrations of intracellular metabolites were successfully predicted and the differences between the measured and calculated reaction rates could be considerably reduced."
Ethanol production from marine algal hydrolysates using Escherichia coli KO11,"NJ Kim, H Li, HN Chang, PC Lee",Bioresource technology,2011.0,https://doi.org/10.1016/j.biortech.2011.04.071,"Algae biomass is a potential raw material for the production of biofuels and other chemicals. In this study, biomass of the marine algae, Ulva lactuca, Gelidium amansii, Laminaria japonica, and Sargassum fulvellum, was treated with acid and commercially available hydrolytic enzymes. The hydrolysates contained glucose, mannose, galactose, and mannitol, among other sugars, at different ratios. The Laminaria japonica hydrolysate contained up to 30.5% mannitol and 6.98% glucose in the hydrolysate solids. Ethanogenic recombinant Escherichia coli KO11 was able to utilize both mannitol and glucose and produced 0.4 g ethanol per g of carbohydrate when cultured in L. japonica hydrolysate supplemented with LuriaâBertani medium and hydrolytic enzymes. The strategy of acid hydrolysis followed by simultaneous enzyme treatment and inoculation with E. coli KO11 could be a viable strategy to produce ethanol from marine alga biomass."
High-level production of L-threonine by recombinant Escherichia coli with combined feeding strategies,"Wang, J., et al.",Biotechnol Biotechnol Equip,2014.0,https://doi.org/10.1080/13102818.2014.927682,"The process of L-threonine production using Escherichia coli TRFC was investigated, and the result showed that there was a large amount of acetic acid in the broth. The effects of acetic acid, which is a known inhibitory metabolite in E. coli cultivation, on L-threonine production by recombinant E. coli TRFC were evaluated, and the result indicated that the growth of E. coli TRFC and L-threonine formation were significantly inhibited in the presence of acetic acid. Two combined feeding strategies were applied to L-threonine fed-batch fermentation in order to investigate the effects of the feeding strategy on L-threonine fermentation. The results showed that using the combined feeding strategy of pseudo-exponential feeding and glucose-stat feeding resulted in high cell density (36.67 g L(-1)) and L-threonine production (124.57 g L(-1)) as well as low accumulation of by-products. This work provides a useful approach for large-scale production of L-threonine."
Metabolic Engineering of Escherichia coli for Lacto-N-triose II Production with High Productivity,"Zhu, Y., et al.",J Agric Food Chem,2021.0,https://doi.org/10.1021/acs.jafc.1c00246,"Lacto-N-triose II (LNT II), a core structural unit of human milk oligosaccharides (HMOs), has attracted substantial attention for its nutraceutical potentials and applications in the production of complex HMOs. In this study, Escherichia coli was metabolically engineered to efficiently produce LNT II using glycerol as a carbon source and lactose as a substrate. The UDP-N-acetylglucosamine (UDP-GlcNAc) biosynthesis pathway was strengthened, and beta-1,3-N-acetylglucosaminyltransferase (LgtA) was introduced to construct an LNT II-producing base strain. To increase the titer and yield of LNT II, combinatorial optimization of the copy number and the ribosomal binding site sequence was performed to tune the gene expression strength and translation rates of the pathway enzymes. Next, multipoint mutations were introduced to glucosamine-6-phosphatesynthase (GlmS) to relieve the feedback inhibition. Then, a series of engineered strains were constructed by blocking the futile pathways by the deletion of the relevant genes. Finally, the culture conditions were optimized. LNT II titer was improved step-by-step from 0.53 to 5.52 g/L in shake-flask cultivations. Fed-batch culture of the final engineered strain produced 46.2 g/L of LNT II, with an LNT II productivity and content of 0.77 g/(L.h) and 0.95 g/g dry cell weight, respectively."
"Antimicrobial action of the American cranberry constituents; phenolics, anthocyanins, and organic acids, against Escherichia coli O157: H7",VCH Wu,International Journal of Food Microbiology,2010.0,https://doi.org/10.1016/j.ijfoodmicro.2010.01.035,"We investigated the antimicrobial effect of constituents of the American cranberry (Vaccinium macrocarpon); sugar plus organic acids, phenolics, and anthocyanins, against Escherichia coli O157:H7. Each fractional component was assayed over a 24-h period with 5-log initial inocula to determine the minimal inhibitory concentration (MIC), minimal bactericidal concentration (MBC), and log CFU/ml reductions, at their native pH and neutral pH. Each fraction produced significant reductions (P < 0.05) at the native pH: MICs for sugars plus organic, phenolics, and anthocyanins were 5.6/2.6 Brix/acid (citric acid equivalents) 2.70 g/L (gallic acid equivalent), and 14.80 mg/L (cyanidin-3-glucoside equivalent), respectively. Sugars plus organic acids at native pH (3) produced a reduction below detectable limits (< 1 log CFU/ml) compared to the control at 24 h for 11.3/5.2 and 5.6/2.6 Brix/acid. Phenolics at native pH (4) produced reductions below detectable limits compared to the control at 24 h and initial inocula for treatments of 5.40 and 2.70 g/L. Anthocyanins at native pH (2) produced reductions below detectable limits for treatments of 29.15 and 14.80 mg/L cyanidin-3-glucoside equivalents. Neutralized phenolics and anthocyanins had the same MIC and MBC as those at their native pH. Neutralized sugars plus organic acids did not inhibit bacterial growth compared to the control. Neutralized phenolics reduced bacteria below detectable limits in treatments of 5.40 g/L and 2.70 g/L compared to the control. Neutralized anthocyanins reduced bacterial growth below detectable limits at the concentration of 29.15 mg/L, but at 14.80 mg/L there was no significant reduction. Stationary-phase cells of E. coli O157:H7 were treated with 5% of each fraction in 0.8% NaCl for 20 min and viewed under transmission electron microscopy. All fractions caused significant damage compared the control. Sugars plus organic acids caused visible osmotic stress, while phenolics and anthocyanins caused disintegration of the outer membrane."
Biosynthesis of polyhydroxyalkanoates from sucrose by metabolically engineered Escherichia coli strains,"Sohn, Y. J., et al.",Int J Biol Macromol,2020.0,https://doi.org/10.1016/j.ijbiomac.2020.01.254,"Sucrose utilization has been established in Escherichia coli strains by expression of Mannheimia succiniciproducens beta-fructofuranosidase (SacC), which hydrolyzes sucrose into glucose and fructose. Recombinant E. coli strains that can utilize sucrose were examined for their abilities to produce poly(3-hydroxybutyrate) [P(3HB)] and poly(3-hydroxybutyrate-co-lactate) [P(3HB-co-LA)] from sucrose. When recombinant E. coli strains expressing Ralstonia eutropha PhaCAB and SacC were cultured in MR medium containing 20 g/L of sucrose, all recombinant E. coli strains could produce P(3HB) from sucrose. Also, recombinant E. coli strains expressing Pseudomonas sp. MBEL 6-19 PhaC1437, Clostridium propionicum Pct540, R. eutropha PhaAB enzymes along with SacC could produce P(3HB-co-LA) from sucrose. Among the examined E. coli strains, recombinant E. coli XL1-Blue produced the highest contents of P(3HB) (53.60 +/- 2.55 wt%) and P(3HB-co-LA) (29.44 +/- 0.39 wt%). In the batch fermentations, recombinant E. coli XL1-Blue strains completely consumed 20 g/L of sucrose as the sole carbon source and supported the production of 3.76 g/L of P(3HB) and 1.82 g/L of P(3HB-co-LA) with 38.21 wt% P(3HB) and 20.88 wt% P(3HB-co-LA) contents, respectively. Recombinant E. coli strains developed in this study can be used to establish a cost-efficient biorefinery for the production of polyhydroxyalkanoates (PHAs) from sucrose, which is an abundant and inexpensive carbon source."
Increasing l-threonine production in Escherichia coli by engineering the glyoxylate shunt and the l-threonine biosynthesis pathway,"H Zhao, Y Fang, X Wang, L Zhao, J Wangâ¦",Applied microbiology and Biotechnology,2018.0,https://doi.org/10.1007/s00253-018-9024-3,"L-threonine is an important amino acid that can be added in food, medicine, or feed. Here, the influence of glyoxylate shunt on an L-threonine producing strain Escherichia coli TWF001 has been studied. The gene iclR was deleted, and the native promoter of the aceBA operon was replaced by the trc promoter in the chromosome of TWF001, the resulting strainTWF004 could produce 0.39 g L-threonine from1 g glucose after 36-h flask cultivation. Further replacing the native promoter of aspC by the trc promoter in the chromosome of TWF004 resulted in the strain TWF006. TWF006 could produce 0.42 g L-threonine from 1 g glucose after 36-h flask cultivation. Three key genes in the biosynthetic pathway of L-threonine, thrA* (a mutated thrA), thrB, and thrC were overexpressed in TWF006, resulting the strain TWF006/pFW01-thrA*BC. TWF006/pFW01-thrA*BC could produce 0.49 g L-threonine from 1 g glucose after 36-h flask cultivation. Next, the genes asd, rhtA, rhtC, or thrE were inserted into the plasmid TWF006/pFW01-thrA*BC, and TWF006 was transformed with these plasmids, resulting the strains TWF006/pFW01-thrA*BC-asd, TWF006/pFW01-thrA*BC-rhtA, TWF006/pFW01-thrA*BC-rhtC, and TWF006/pFW01-thrA*BC-thrE, respectively. These four strains could produce more L-threonine than the control strain, and the highest yield was produced by TWF006/pFW01-thrA*BC-asd; after 36-h flask cultivation, TWF006/pFW01-thrA*BC-asd could produce 15.85 g/l L-threonine, i.e., 0.53 g L-threonine per 1 g glucose, which is a 70% increase relative to the control strain TWF001. The results suggested that the combined engineering of glyoxylate shunt and L-threonine biosynthesis pathway could significantly increase the L-threonine production in E. coli."
High cell density fed-batch cultivation of Escherichia coli using exponential feeding combined with pH-stat,"Kim, B. S., et al.",Bioprocess Biosyst Eng,2004.0,https://doi.org/10.1007/s00449-003-0347-8,"A new feeding strategy in fed-batch culture, exponential feeding combined with pH-stat is suggested to avoid the accumulation of substrate in culture broth. Exponential feeding was stopped whenever a predetermined amount of limiting substrate was supplied and then pH change was observed. When pH rose above an upper limit due to the depletion of substrate, feeding was restarted. With this feeding strategy, recombinant Escherichia coli could be grown to 101 g/l by controlling the specific growth rate at 0.1 h(-1)."
Directing vanillin production from ferulic acid by increased acetylâCoA consumption in recombinant Escherichia coli,SH Yoon,Biotechnology and Bioengineering,2009.0,https://doi.org/10.1002/bit.22040,"The amplification of gltA gene encoding citrate synthase of TCA cycle was required for the efficient conversion of acetyl-CoA, generated during vanillin production from ferulic acid, to CoA, which is essential for vanillin production. Vanillin of 1.98 g/L was produced from the E. coli DH5Î± (pTAHEF-gltA) with gltA amplification in 48 h of culture at 3.0 g/L of ferulic acid, which was about twofold higher than the vanillin production of 0.91 g/L obtained by the E. coli DH5Î± (pTAHEF) without gltA amplification. The icdA gene encoding isocitrate dehydrogenase of TCA cycle was deleted to make the vanillin producing E. coli utilize glyoxylate bypass which enables more efficient conversion of acetyl-CoA to CoA in comparison with TCA cycle. The production of vanillin by the icdA null mutant of E. coli BW25113 harboring pTAHEF was enhanced by 2.6 times. The gltA amplification of the glyoxylate bypass in the icdA null mutant remarkably increased the production rate of vanillin with a little increase in the amount of vanillin production. The real synergistic effect of gltA amplification and icdA deletion was observed with use of XAD-2 resin reducing the toxicity of vanillin produced during culture. Vanillin of 5.14 g/L was produced in 24 h of the culture with molar conversion yield of 86.6%, which is the highest so far in vanillin production from ferulic acid using recombinant E. coli. Biotechnol. Bioeng. 2009;102: 200â208. © 2008 Wiley Periodicals, Inc."
High-yield production of L-valine in engineered Escherichia coli by a novel two-stage fermentation,"Hao, Y., et al.",Metab Eng,2020.0,https://doi.org/10.1016/j.ymben.2020.09.007,"L-valine is an essential amino acid and an important amino acid in the food and feed industry. The relatively low titer and low fermentation yield currently limit the large-scale application of L-valine. Here, we constructed a chromosomally engineered Escherichia coli to efficiently produce L-valine. First, the synthetic pathway of L-valine was enhanced by heterologous introduction of a feedback-resistant acetolactate acid synthase from Bacillus subtilis and overexpression of other two enzymes in the L-valine synthetic pathway. For efficient efflux of L-valine, an exporter from Corynebacterium glutamicum was subsequently introduced. Next, the precursor pyruvate pool was increased by knockout of GTP pyrophosphokinase and introduction of a ppGpp 3'-pyrophosphohydrolase mutant to facilitate the glucose uptake process. Finally, in order to improve the redox cofactor balance, acetohydroxy acid isomeroreductase was replaced by a NADH-preferring mutant, and branched-chain amino acid aminotransferase was replaced by leucine dehydrogenase from Bacillus subtilis. Redox cofactor balance enabled the strain to synthesize L-valine under oxygen-limiting condition, significantly increasing the yield in the presence of glucose. Two-stage fed-batch fermentation of the final strain in a 5 L bioreactor produced 84 g/L L-valine with a yield and productivity of 0.41 g/g glucose and 2.33 g/L/h, respectively. To the best of our knowledge, this is the highest L-valine titer and yield ever reported in E. coli. The systems metabolic engineering strategy described here will be useful for future engineering of E. coli strains for the industrial production of L-valine and related products."
Highly efficient production of L-homoserine in Escherichia coli by engineering a redox balance route,"Mu, Q., et al.",Metab Eng,2021.0,https://doi.org/10.1016/j.ymben.2021.07.011,"L-Homoserine is a nonessential chiral amino acid and the precursor of L-threonine and L-methionine. It has great potential to be used in the pharmaceutical, agricultural, cosmetic, and fragrance industries. However, the current low efficiency in the fermentation process of L-homoserine drives up the cost and therefore limits applications. Here, we systematically analyzed the L-homoserine production network in Escherichia coli to design a redox balance route for L-homoserine fermentation from glucose. Production of L-homoserine from L-aspartate via reduction of the tricarboxylic acid cycle intermediate oxaloacetate lacks reducing power. This deficiency could be corrected by activating the glyoxylate shunt and driving the flux from fumarate to L-aspartate with excess reducing power. This redox balance route decreases cell growth pressure and the theoretical yield of L-homoserine is 1.5 mol/mol of glucose without carbon loss. We fine-tuned the flux from fumarate to L-aspartate, deleted competitive and degradative pathways, enhanced L-homoserine efflux, and generated 84.1 g/L L-homoserine with 1.96 g/L/h productivity and 0.50 g/g glucose yield in a fed-batch fermentation. This study proposes a novel balanced redox metabolic network strategy for highly efficient production of L-homoserine and its derivative amino acids."
Ethanol production from wheat straw by recombinant Escherichia coli strain FBR5 at high solid loading,"Saha, B. C., et al.",Bioresour Technol,2011.0,https://doi.org/10.1016/j.biortech.2011.09.041,"Ethanol production by a recombinant bacterium from wheat straw (WS) at high solid loading by separate hydrolysis and fermentation (SHF) and simultaneous saccharification and fermentation (SSF) was studied. The yield of total sugars from dilute acid pretreated WS (150 g/L) after enzymatic saccharification was 86.3+/-1.5 g/L. The pretreated WS was bio-abated by growing a fungal strain aerobically in the liquid portion for 16 h. The recombinant Escherichia coli strain FBR5 produced 41.1+/-1.1 gethanol/L from non-abated WS hydrolyzate (total sugars, 86.6+/-0.3 g/L) in 168 h at pH7.0 and 35 degrees C. The bacterium produced 41.8+/-0.0 g ethanol/L in 120 h from the bioabated WS by SHF. It produced 41.6+/-0.7 g ethanol/L in 120 h from bioabated WS by fed-batch SSF. This is the first report of the production of above 4% ethanol from a lignocellulosic hydrolyzate by the recombinant bacterium."
High level production of tyrosinase in recombinant Escherichia coli,"Ren, Q., et al.",BMC Biotechnol,2013.0,https://doi.org/10.1186/1472-6750-13-18,"BACKGROUND: Tyrosinase is a bifunctional enzyme that catalyzes both the hydroxylation of monophenols to o-diphenols (monophenolase activity) and the subsequent oxidation of the diphenols to o-quinones (diphenolase activity). Due to the potential applications of tyrosinase in biotechnology, in particular in biocatalysis and for biosensors, it is desirable to develop a suitable low-cost process for efficient production of this enzyme. So far, the best production yield reported for tyrosinase was about 1 g L(-1), which was achieved by cultivating the filamentous fungus Trichoderma reesei for 6 days. RESULTS: In this work, tyrosinase from Verrucomicrobium spinosum was expressed in Escherichia coli and its production was studied in both batch and fed-batch cultivations. Effects of various key cultivation parameters on tyrosinase production were first examined in batch cultures to identify optimal conditions. It was found that a culture temperature of 32 degrees C and induction at the late growth stage were favorable, leading to a highest tyrosinase activity of 0.76 U mL(-1). The fed-batch process was performed by using an exponential feeding strategy to achieve high cell density. With the fed-batch process, a final biomass concentration of 37 g L(-1) (based on optical density) and a tyrosinase activity of 13 U mL(-1) were obtained in 28 hours, leading to a yield of active tyrosinase of about 3 g L(-1). The highest overall volumetric productivity of 103 mg of active tyrosinase per liter and hour (corresponding to 464 mU L(-1) h(-1)) was determined, which is approximately 15 times higher than that obtained in batch cultures. CONCLUSIONS: We have successfully expressed and produced gram quantities per liter of active tyrosinase in recombinant E. coli by optimizing the expression conditions and fed-batch cultivation strategy. Exponential feed of substrate helped to prolong the exponential phase of growth, to reduce the fermentation time and thus the cost. A specific tyrosinase production rate of 103 mg L(-1) h(-1) and a maximum volumetric activity of 464 mU L(-1) h(-1) were achieved in this study. These levels have not been reported previously."
Metabolic engineering of Escherichia coli for the production of malic acid,"TY Kim, SY Lee",Biochemical Engineering Journal,2008.0,https://doi.org/10.1016/j.bej.2008.01.001,"Malic acid is a C4-dicarboxylic acid and an intermediate of tricarboxylic acid (TCA) cycle. It has been widely used in the polymer, food and pharmaceutical industries. Metabolic flux analysis was performed to find a strategy for enhanced malic acid production in Escherichia coli. The simulation results suggested that the amplification of phosphoenolpyruvate (PEP) carboxylation flux allowed increased malic acid production. Since the PEP carboxylase of E. coli converts PEP to oxaloacetate without generating ATP, thus losing the high-energy phosphate bond of PEP, the PEP carboxykinase, which generates ATP during this conversion, was chosen. However, the E. coli PEP carboxykinase catalyzes the reaction that converts oxaloacetate to PEP rather than the desirable opposite reaction. Thus, we cloned the PEP carboxykinase (enconded by the pckA gene) of Mannheimia succiniciproducens, which converts PEP to oxaloacetate as a favorable reaction. The pta mutant E. coli strain WGS-10 harboring the plasmid p104ManPck containing the M. succiniciproducens pckA gene was constructed and cultured at 37 °C. The final malic acid concentration of 9.25 g/L could be obtained after 12 h of aerobic cultivation."
"Amine neuromediators, their precursors, and oxidation products in the culture of Escherichia coli K-12","VA Shishov, TA Kirovskaya, VS Kudrinâ¦",Applied biochemistry and Biotechnology,2009.0,https://doi.org/10.1134/S0003683809050068,"The growth dynamics of the synthesis of monoamine neuromediators serotonin, norepinephrine, and dopamine in Escherichia coli K-12 was investigated for the first time using high performance liquid chromatography with electrodetection. Maximum (micromolar) concentrations of these compounds were detected in E. coli cells during the early growth phases; their intracellular content decreases after the transition to late growth phases. E. coli biomass contains (i) the substances DOPA and 5-hydroxytryptamine that serve in animal cells as neuromediator precursors and (ii) the products of their oxidative deamination. Presumably, the biosynthesis and degradation of monoamine neuromediators in bacterial cells involves enzyme systems analogous to those typical of animals. The culture fluid of E. coli contains micromolar concentrations of DOPA and nanomolar of serotonin, dopamine, and norepinephrine during the late growth phase. These concentrations are sufficient for animal/human receptors to bind them. This article deals with the potential biotechnological applications of the data obtained."
A Gram-Scale Limonene Production Process with Engineered Escherichia coli,"Rolf, J., et al.",Molecules,2020.0,https://doi.org/10.3390/molecules25081881,"Monoterpenes, such as the cyclic terpene limonene, are valuable and important natural products widely used in food, cosmetics, household chemicals, and pharmaceutical applications. The biotechnological production of limonene with microorganisms may complement traditional plant extraction methods. For this purpose, the bioprocess needs to be stable and ought to show high titers and space-time yields. In this study, a limonene production process was developed with metabolically engineered Escherichia coli at the bioreactor scale. Therefore, fed-batch fermentations in minimal medium and in the presence of a non-toxic organic phase were carried out with E. coli BL21 (DE3) pJBEI-6410 harboring the optimized genes for the mevalonate pathway and the limonene synthase from Mentha spicata on a single plasmid. The feasibility of glycerol as the sole carbon source for cell growth and limonene synthesis was examined, and it was applied in an optimized fermentation setup. Titers on a gram-scale of up to 7.3 g.L(org)(-1) (corresponding to 3.6 g.L(-1) in the aqueous production phase) were achieved with industrially viable space-time yields of 0.15 g.L(-1).h(-1). These are the highest monoterpene concentrations obtained with a microorganism to date, and these findings provide the basis for the development of an economic and industrially relevant bioprocess."
Engineering pyridoxal kinase PdxY-integrated Escherichia coli strain and optimization for high-level 5-aminolevulinic acid production,IS Ng,Journal of the Taiwan Institute of Chemical Engineers,2021.0,https://doi.org/10.1016/j.jtice.2021.03.017,"Recently, 5-aminolevulinic acid (ALA) has gained significant attention in research due to its extensive applications in agriculture, aquaculture, cosmetics, and photodynamic therapy for cancer. Microbial production of ALA is a green, high-efficient, and sustainable process. Herein, we have engineered a new strain of Escherichia coli called PdxY Integrative E. coli Enhancer (PIECE). In this strain, the super salvage pathway was fine-tuned to enhance the regeneration of pyridoxal 5â²-phosphate (PLP), on which the activity of ALA synthase (ALAS) is highly dependent. The PIECE strain, harboring ALA synthase (ALAS) from Rhodobacter capsulatus, produced 1.99 g/L ALA and 5.15 g/L biomass, that was a 4.33-fold increase in ALA production and a 1.84-fold increase in biomass compared to the parent strain. The metabolic flux analysis indicated that PIECE would redirect more carbon into the tricarboxylic acid (TCA) cycle and generate more glycine and glutamate, thereby increasing the ALA and biomass. Finally, the maximum ALA yield of 8.21 g/L and a productivity of 0.228 g/L/h were obtained by using fed-batch fermentation. The results showed that PIECE was not only feasible for high-level ALA production but also had significant potential to reprogram the carbon flux in the TCA cycle to produce value-added chemicals in the future."
Expression and purification of mini G proteins from Escherichia coli,CG Tate,Bio-protocol,2017.0,https://doi.org/10.21769/BioProtoc.2235,"Heterotrimeric G proteins modulate intracellular signalling by transducing information from cell surface G protein-coupled receptors (GPCRs) to cytoplasmic effector proteins. Structural and functional characterisation of GPCRâG protein complexes is important to fully decipher the mechanism of signal transduction. However, native G proteins are unstable and conformationally dynamic when coupled to a receptor. We therefore developed an engineered minimal G protein, mini-Gs, which formed a stable complex with GPCRs, and facilitated the crystallisation and structure determination of the human adenosine A2A receptor (A2AR) in its active conformation. Mini G proteins are potentially useful tools in a variety of applications, including characterising GPCR pharmacology, binding affinity and kinetic experiments, agonist drug discovery, and structure determination of GPCRâG protein complexes. Here, we describe a detailed protocol for the expression and purification of mini-Gs."
Effects of glutamate decarboxylase and gamma-aminobutyric acid (GABA) transporter on the bioconversion of GABA in engineered Escherichia coli,"Le Vo, T. D., et al.",Bioprocess Biosyst Eng,2012.0,https://doi.org/10.1007/s00449-011-0634-8,"Gamma-aminobutyric acid (GABA) is a non-essential amino acid and a precursor of pyrrolidone, a monomer of nylon 4. GABA can be biosynthesized through the decarboxylation of L: -glutamate by glutamate decarboxylase. In this study, the effects of glutamate decarboxylase (gadA, gadB), glutamate/GABA antiporter (gadC) and GABA aminotransferase (gabT) on GABA production were investigated in Escherichia coli. Glutamate decarboxylase was overexpressed alone or with the glutamate/GABA antiporter to enhance GABA synthesis. GABA aminotransferase, which redirects GABA into the TCA cycle, was knock-out mutated. When gadB and gadC were co-overexpressed in the gabT mutant strain, a final GABA concentration of 5.46 g/l was obtained from 10 g/l of monosodium glutamate (MSG), which corresponded to a GABA yield of 89.5%."
Engineering Escherichia coli for lâhomoserine production,"BY Sun, FQ Wang, J Zhao, XY Taoâ¦",Journal of Basic Microbiology,2023.0,https://doi.org/10.1002/jobm.202200488,"l-homoserine, a nonprotein amino acid, is used to synthesize many active substances in the industry. Here, to develop a robust l-homoserine-producing strain, Escherichia coli W3110 was used as a chassis to be engineered. Based on a previous construct with blocked competing routes for l-homoserine synthesis, five genes were overexpressed by promoter replacement strategy to increase the l-homoserine production, including enhancement of precursors for l-homoserine synthesis (ppc, thrA, and asd), reinforcement of the NADPH supply (pntAB) and efflux transporters (rhtA) to improve the l-homoserine production. However, the plasmid losing was to blame for the wildly fluctuating fermentation performance of engineered strains, ranging between 2.1 and 6.2âg/L. Then, a hok/sok toxin/antitoxin system was introduced into the free plasmid expression cassette to maintain the genetic stability of the episomal plasmid; consequently, the plasmid-losing rate sharply decreased, resulting in the engineered strain SHL17, which exhibited excellent stability in l-homoserine production, with 6.3âg/L in shake flasks and 44.4âg/L in a 5-L fermenter without antibiotic addition. This work verified the effective use of the hok/sok toxin/antitoxin system combined with promoter engineering to improve the genetic stability of E. coli episomal plasmids without antibiotics."
Metabolic engineering of Escherichia coli for the production of L-malate from xylose,"Li, Z. J., et al.",Metab Eng,2018.0,https://doi.org/10.1016/j.ymben.2018.05.010,"Malate is regarded as one of the key building block chemicals which can potentially be produced from biomass at a large scale. Although glucose has been extensively studied as the substrate for malate production, its high price and potential competition with food production are serious limiting factors. In this study, Escherichia coli was metabolically engineered to effectively produce malate from xylose, the second most abundant sugar component of lignocellulosic biomass. First, the biosynthetic route of malate was constructed by overexpressing D-tagatose 3-epimerase, L-fuculokinase, L-fuculose-phosphate aldolase, and aldehyde dehydrogenase A. Second, genes encoding malic enzyme, malate dehydrogenase, and fumarate hydratase were knocked out to eliminate malate consumption, resulting in a titer of 1.99â¯g/l malate and a yield of 0.47â¯g malate/g xylose. Third, glycolate oxidase and malate synthase were overexpressed to strengthen the conversion of glycolate to malate, which led to a titer of 4.33â¯g/l malate and a yield of 0.83â¯g malate/g xylose, reaching 93% of the theoretical yield. Finally, catalase HPII was overexpressed to decompose H(2)O(2) and alleviate its toxicity, which improved cell growth and further boosted malate titer to 5.90â¯g/l with a yield of 0.80â¯g malate/g xylose. To the best of our knowledge, this is the first study to report efficient malate production from xylose as the carbon source."
